ZipCode,Month,Year,CustomerClass,TotalCustomers,TotalkWh,AveragekWh
92028,7,2022,C,1570,8016549,5106
92028,7,2022,I,0,0,0
92028,7,2022,R,17137,7596974,443
92029,7,2022,A,0,0,0
92029,7,2022,C,0,0,0
92029,7,2022,I,0,0,0
92029,7,2022,R,7233,4216863,583
92036,7,2022,A,0,0,0
92036,7,2022,C,0,0,0
92036,7,2022,I,0,0,0
92036,7,2022,R,2353,1317587,560
92037,7,2022,A,0,0,0
92037,7,2022,C,0,0,0
92037,7,2022,I,0,0,0
92037,7,2022,R,2796,709036,254
92040,7,2022,A,0,0,0
92040,7,2022,C,794,4854722,6114
92040,7,2022,I,0,0,0
92040,7,2022,R,13986,9639522,689
92045,7,2022,C,0,0,0
92045,7,2022,I,0,0,0
92045,7,2022,R,0,0,0
92049,7,2022,A,0,0,0
92049,7,2022,C,0,0,0
92049,7,2022,I,0,0,0
92049,7,2022,R,0,0,0
92054,7,2022,A,0,0,0
92054,7,2022,C,1330,11710222,8805
92054,7,2022,I,0,0,0
92054,7,2022,R,15897,5612533,353
92055,7,2022,A,0,0,0
92055,7,2022,C,0,0,0
92055,7,2022,I,0,0,0
92055,7,2022,R,0,0,0
92056,7,2022,A,0,0,0
92056,7,2022,C,1128,13383470,11865
92056,7,2022,I,0,0,0
92056,7,2022,R,20266,6805672,336
92057,7,2022,A,0,0,0
92057,7,2022,C,0,0,0
92057,7,2022,I,0,0,0
92057,7,2022,R,19635,6933202,353
92058,7,2022,A,0,0,0
92058,7,2022,C,0,0,0
92058,7,2022,I,0,0,0
92058,7,2022,R,7160,4108954,574
92059,7,2022,A,0,0,0
92059,7,2022,C,0,0,0
92059,7,2022,I,0,0,0
92059,7,2022,R,521,441700,848
92060,7,2022,A,0,0,0
92060,7,2022,C,0,0,0
92060,7,2022,I,0,0,0
92060,7,2022,R,0,0,0
92061,7,2022,A,0,0,0
92061,7,2022,C,0,0,0
92061,7,2022,I,0,0,0
92061,7,2022,R,977,834058,854
92064,7,2022,A,0,0,0
92064,7,2022,C,0,0,0
92064,7,2022,I,0,0,0
92064,7,2022,R,15491,7571143,489
92065,7,2022,A,0,0,0
92065,7,2022,C,0,0,0
92065,7,2022,I,0,0,0
92065,7,2022,R,12205,8279149,678
92066,7,2022,A,0,0,0
92066,7,2022,C,0,0,0
92066,7,2022,I,0,0,0
92066,7,2022,R,0,0,0
92067,7,2022,A,0,0,0
92067,7,2022,C,361,2659761,7368
92067,7,2022,I,0,0,0
92067,7,2022,R,3681,4816715,1309
92068,7,2022,A,0,0,0
92068,7,2022,C,0,0,0
92068,7,2022,I,0,0,0
92068,7,2022,R,0,0,0
92069,7,2022,A,0,0,0
92069,7,2022,C,1319,10809521,8195
92069,7,2022,I,0,0,0
92069,7,2022,R,15048,5756692,383
92070,7,2022,A,0,0,0
92070,7,2022,C,0,0,0
92070,7,2022,I,0,0,0
92070,7,2022,R,0,0,0
92071,7,2022,A,0,0,0
92071,7,2022,C,1405,9605347,6837
92071,7,2022,I,0,0,0
92071,7,2022,R,19862,10770140,542
92072,7,2022,A,0,0,0
92072,7,2022,C,0,0,0
92072,7,2022,I,0,0,0
92072,7,2022,R,0,0,0
92075,7,2022,A,0,0,0
92075,7,2022,C,704,2925559,4156
92075,7,2022,I,0,0,0
92075,7,2022,R,5790,2292751,396
92078,7,2022,A,0,0,0
92078,7,2022,C,1483,11814203,7966
92078,7,2022,I,0,0,0
92078,7,2022,R,17368,7177839,413
92079,7,2022,A,0,0,0
92079,7,2022,C,0,0,0
92079,7,2022,I,0,0,0
92079,7,2022,R,0,0,0
92081,7,2022,A,0,0,0
92081,7,2022,C,1353,15691041,11597
92081,7,2022,I,0,0,0
92081,7,2022,R,11443,4151615,363
92082,7,2022,A,0,0,0
92082,7,2022,C,0,0,0
92082,7,2022,I,0,0,0
92082,7,2022,R,6584,4132487,628
92083,7,2022,A,0,0,0
92083,7,2022,C,922,5157016,5593
92083,7,2022,I,0,0,0
92083,7,2022,R,11769,4453547,378
92084,7,2022,A,0,0,0
92084,7,2022,C,1074,4287763,3992
92084,7,2022,I,0,0,0
92084,7,2022,R,15548,5965843,384
92085,7,2022,A,0,0,0
92085,7,2022,C,0,0,0
92085,7,2022,I,0,0,0
92085,7,2022,R,0,0,0
92086,7,2022,A,0,0,0
92086,7,2022,C,0,0,0
92086,7,2022,I,0,0,0
92086,7,2022,R,444,509264,1147
92091,7,2022,A,0,0,0
92091,7,2022,C,0,0,0
92091,7,2022,I,0,0,0
92091,7,2022,R,971,743252,765
92092,7,2022,A,0,0,0
92092,7,2022,C,0,0,0
92092,7,2022,I,0,0,0
92092,7,2022,R,0,0,0
92093,7,2022,A,0,0,0
92093,7,2022,C,0,0,0
92093,7,2022,I,0,0,0
92093,7,2022,R,0,0,0
92096,7,2022,A,0,0,0
92096,7,2022,C,0,0,0
92096,7,2022,I,0,0,0
92096,7,2022,R,0,0,0
92101,7,2022,A,0,0,0
92101,7,2022,C,0,0,0
92101,7,2022,I,0,0,0
92101,7,2022,R,3558,1305518,367
92102,7,2022,A,0,0,0
92102,7,2022,C,0,0,0
92102,7,2022,I,0,0,0
92102,7,2022,R,1524,374423,246
92103,7,2022,A,0,0,0
92103,7,2022,C,0,0,0
92103,7,2022,I,0,0,0
92103,7,2022,R,2393,383513,160
92104,7,2022,A,0,0,0
92104,7,2022,C,0,0,0
92104,7,2022,I,0,0,0
92104,7,2022,R,2813,383979,137
92105,7,2022,A,0,0,0
92105,7,2022,C,0,0,0
92105,7,2022,I,0,0,0
92105,7,2022,R,2095,325357,155
92106,7,2022,A,0,0,0
92106,7,2022,C,0,0,0
92106,7,2022,I,0,0,0
92106,7,2022,R,1249,132656,106
92107,7,2022,A,0,0,0
92107,7,2022,C,0,0,0
92107,7,2022,I,0,0,0
92107,7,2022,R,1650,173545,105
92108,7,2022,A,0,0,0
92108,7,2022,C,281,10272352,36556
92108,7,2022,I,0,0,0
92108,7,2022,R,1987,901373,454
92109,7,2022,A,0,0,0
92109,7,2022,C,0,0,0
92109,7,2022,I,0,0,0
92109,7,2022,R,3266,716963,220
92110,7,2022,A,0,0,0
92110,7,2022,C,0,0,0
92110,7,2022,I,0,0,0
92110,7,2022,R,1676,1635856,976
92111,7,2022,A,0,0,0
92111,7,2022,C,328,4668837,14234
92111,7,2022,I,0,0,0
92111,7,2022,R,2204,234835,107
92112,7,2022,A,0,0,0
92112,7,2022,C,0,0,0
92112,7,2022,I,0,0,0
92112,7,2022,R,0,0,0
92113,7,2022,A,0,0,0
92113,7,2022,C,0,0,0
92113,7,2022,I,0,0,0
92113,7,2022,R,1141,177148,155
92114,7,2022,A,0,0,0
92114,7,2022,C,0,0,0
92114,7,2022,I,0,0,0
92114,7,2022,R,3017,331443,110
92115,7,2022,A,0,0,0
92115,7,2022,C,329,5044349,15332
92115,7,2022,I,0,0,0
92115,7,2022,R,3214,871556,271
92116,7,2022,A,0,0,0
92116,7,2022,C,0,0,0
92116,7,2022,I,0,0,0
92116,7,2022,R,2137,272429,127
92117,7,2022,A,0,0,0
92117,7,2022,C,0,0,0
92117,7,2022,I,0,0,0
92117,7,2022,R,3372,187327,56
92118,7,2022,A,0,0,0
92118,7,2022,C,0,0,0
92118,7,2022,I,0,0,0
92118,7,2022,R,7958,4864230,611
92119,7,2022,A,0,0,0
92119,7,2022,C,0,0,0
92119,7,2022,I,0,0,0
92119,7,2022,R,1973,353941,179
92120,7,2022,A,0,0,0
92120,7,2022,C,0,0,0
92120,7,2022,I,0,0,0
92120,7,2022,R,2552,563733,221
92121,7,2022,A,0,0,0
92121,7,2022,C,0,0,0
92121,7,2022,I,0,0,0
92121,7,2022,R,399,1670477,4187
92122,7,2022,A,0,0,0
92122,7,2022,C,0,0,0
92122,7,2022,I,0,0,0
92122,7,2022,R,3663,595614,163
92123,7,2022,A,0,0,0
92123,7,2022,C,291,15248481,52400
92123,7,2022,I,0,0,0
92123,7,2022,R,1957,1644143,840
92124,7,2022,A,0,0,0
92124,7,2022,C,0,0,0
92124,7,2022,I,0,0,0
92124,7,2022,R,1567,340123,217
92126,7,2022,A,0,0,0
92126,7,2022,C,381,4166807,10937
92126,7,2022,I,0,0,0
92126,7,2022,R,3903,586742,150
92127,7,2022,A,0,0,0
92127,7,2022,C,0,0,0
92127,7,2022,I,0,0,0
92127,7,2022,R,9111,3514836,386
92128,7,2022,A,0,0,0
92128,7,2022,C,0,0,0
92128,7,2022,I,0,0,0
92128,7,2022,R,3647,712249,195
92129,7,2022,A,0,0,0
92129,7,2022,C,0,0,0
92129,7,2022,I,0,0,0
92129,7,2022,R,4102,306421,75
92130,7,2022,A,0,0,0
92130,7,2022,C,0,0,0
92130,7,2022,I,0,0,0
92130,7,2022,R,4561,556900,122
92131,7,2022,A,0,0,0
92131,7,2022,C,139,3588627,25817
92131,7,2022,I,0,0,0
92131,7,2022,R,3098,486448,157
92132,7,2022,A,0,0,0
92132,7,2022,C,0,0,0
92132,7,2022,I,0,0,0
92132,7,2022,R,0,0,0
92134,7,2022,A,0,0,0
92134,7,2022,C,0,0,0
92134,7,2022,I,0,0,0
92134,7,2022,R,0,0,0
92135,7,2022,A,0,0,0
92135,7,2022,C,0,0,0
92135,7,2022,I,0,0,0
92135,7,2022,R,0,0,0
92136,7,2022,A,0,0,0
92136,7,2022,C,0,0,0
92136,7,2022,I,0,0,0
92136,7,2022,R,0,0,0
92139,7,2022,A,0,0,0
92139,7,2022,C,0,0,0
92139,7,2022,I,0,0,0
92139,7,2022,R,1367,193452,142
92145,7,2022,A,0,0,0
92145,7,2022,C,0,0,0
92145,7,2022,I,0,0,0
92145,7,2022,R,0,0,0
92152,7,2022,A,0,0,0
92152,7,2022,C,0,0,0
92152,7,2022,I,0,0,0
92152,7,2022,R,0,0,0
92154,7,2022,A,0,0,0
92154,7,2022,C,0,0,0
92154,7,2022,I,0,0,0
92154,7,2022,R,2908,661810,228
92155,7,2022,A,0,0,0
92155,7,2022,C,0,0,0
92155,7,2022,I,0,0,0
92155,7,2022,R,0,0,0
92158,7,2022,A,0,0,0
92158,7,2022,C,0,0,0
92158,7,2022,I,0,0,0
92158,7,2022,R,0,0,0
92161,7,2022,A,0,0,0
92161,7,2022,C,0,0,0
92161,7,2022,I,0,0,0
92161,7,2022,R,0,0,0
92173,7,2022,A,0,0,0
92173,7,2022,C,0,0,0
92173,7,2022,I,0,0,0
92173,7,2022,R,659,-25895,-39
92179,7,2022,A,0,0,0
92179,7,2022,C,0,0,0
92179,7,2022,I,0,0,0
92179,7,2022,R,0,0,0
92182,7,2022,A,0,0,0
92182,7,2022,C,0,0,0
92182,7,2022,I,0,0,0
92182,7,2022,R,0,0,0
92199,7,2022,A,0,0,0
92199,7,2022,C,0,0,0
92199,7,2022,I,0,0,0
92199,7,2022,R,0,0,0
92536,7,2022,A,0,0,0
92536,7,2022,C,0,0,0
92536,7,2022,I,0,0,0
92536,7,2022,R,0,0,0
92624,7,2022,A,0,0,0
92624,7,2022,C,0,0,0
92624,7,2022,I,0,0,0
92624,7,2022,R,2883,1346951,467
92625,7,2022,A,0,0,0
92629,7,2022,A,0,0,0
92629,7,2022,C,0,0,0
92629,7,2022,I,0,0,0
92629,7,2022,R,13065,5619472,430
92649,7,2022,A,0,0,0
92651,7,2022,A,0,0,0
92651,7,2022,C,0,0,0
92651,7,2022,I,0,0,0
92651,7,2022,R,1647,950024,577
92653,7,2022,A,0,0,0
92653,7,2022,C,293,1812276,6185
92653,7,2022,I,0,0,0
92653,7,2022,R,5744,3802112,662
92654,7,2022,A,0,0,0
92654,7,2022,C,0,0,0
92654,7,2022,I,0,0,0
92654,7,2022,R,0,0,0
92656,7,2022,A,0,0,0
92656,7,2022,C,0,0,0
92656,7,2022,I,0,0,0
92656,7,2022,R,2335,1098571,470
92672,7,2022,A,0,0,0
92672,7,2022,C,0,0,0
92672,7,2022,I,0,0,0
92672,7,2022,R,15501,6129718,395
92673,7,2022,A,0,0,0
92673,7,2022,C,762,6292121,8257
92673,7,2022,I,0,0,0
92673,7,2022,R,10177,4458652,438
92674,7,2022,A,0,0,0
92674,7,2022,C,0,0,0
92674,7,2022,I,0,0,0
92674,7,2022,R,0,0,0
92675,7,2022,A,0,0,0
92675,7,2022,C,0,0,0
92675,7,2022,I,0,0,0
92675,7,2022,R,11657,6421348,551
92676,7,2022,A,0,0,0
92676,7,2022,C,0,0,0
92676,7,2022,I,0,0,0
92676,7,2022,R,0,0,0
92677,7,2022,A,0,0,0
92677,7,2022,C,1688,14940352,8851
92677,7,2022,I,0,0,0
92677,7,2022,R,22803,10781143,473
92679,7,2022,A,0,0,0
92679,7,2022,C,0,0,0
92679,7,2022,I,0,0,0
92679,7,2022,R,3186,2563949,805
92688,7,2022,A,0,0,0
92688,7,2022,C,0,0,0
92688,7,2022,I,0,0,0
92688,7,2022,R,1970,1002316,509
92690,7,2022,A,0,0,0
92690,7,2022,C,0,0,0
92690,7,2022,I,0,0,0
92690,7,2022,R,0,0,0
92691,7,2022,A,0,0,0
92691,7,2022,C,0,0,0
92691,7,2022,I,0,0,0
92691,7,2022,R,3914,2027068,518
92692,7,2022,A,0,0,0
92692,7,2022,C,0,0,0
92692,7,2022,I,0,0,0
92692,7,2022,R,6329,3342474,528
92693,7,2022,A,0,0,0
92693,7,2022,C,0,0,0
92693,7,2022,I,0,0,0
92693,7,2022,R,0,0,0
92694,7,2022,A,0,0,0
92694,7,2022,C,353,3403081,9640
92694,7,2022,I,0,0,0
92694,7,2022,R,12171,6731888,553
91901,8,2022,A,0,0,0
91901,8,2022,C,0,0,0
91901,8,2022,I,0,0,0
91901,8,2022,R,8229,7152309,869
91902,8,2022,A,0,0,0
91902,8,2022,C,0,0,0
91902,8,2022,I,0,0,0
91902,8,2022,R,4604,2904444,631
91905,8,2022,A,0,0,0
91905,8,2022,C,0,0,0
91905,8,2022,I,0,0,0
91905,8,2022,R,273,190712,699
91906,8,2022,A,0,0,0
91906,8,2022,C,430,1875474,4362
91906,8,2022,I,0,0,0
91906,8,2022,R,2015,1897838,942
91910,8,2022,A,0,0,0
91910,8,2022,C,348,6907471,19849
91910,8,2022,I,0,0,0
91910,8,2022,R,3920,1368595,349
91911,8,2022,A,0,0,0
91911,8,2022,C,350,6508820,18597
91911,8,2022,I,0,0,0
91911,8,2022,R,3046,827871,272
91912,8,2022,A,0,0,0
91912,8,2022,C,0,0,0
91912,8,2022,I,0,0,0
91912,8,2022,R,0,0,0
91913,8,2022,A,0,0,0
91913,8,2022,C,0,0,0
91913,8,2022,I,0,0,0
91913,8,2022,R,3777,2014020,533
91914,8,2022,A,0,0,0
91914,8,2022,C,93,779465,8381
91914,8,2022,I,0,0,0
91914,8,2022,R,1212,731331,603
91915,8,2022,A,0,0,0
91915,8,2022,C,136,2373853,17455
91915,8,2022,I,0,0,0
91915,8,2022,R,2287,1187464,519
91916,8,2022,A,0,0,0
91916,8,2022,C,0,0,0
91916,8,2022,I,0,0,0
91916,8,2022,R,0,0,0
91917,8,2022,A,0,0,0
91917,8,2022,C,0,0,0
91917,8,2022,I,0,0,0
91917,8,2022,R,219,240846,1100
91931,8,2022,A,0,0,0
91931,8,2022,C,0,0,0
91931,8,2022,I,0,0,0
91931,8,2022,R,0,0,0
91932,8,2022,A,0,0,0
91932,8,2022,C,0,0,0
91932,8,2022,I,0,0,0
91932,8,2022,R,1705,441474,259
91934,8,2022,A,0,0,0
91934,8,2022,C,0,0,0
91934,8,2022,I,0,0,0
91934,8,2022,R,0,0,0
91935,8,2022,A,0,0,0
91935,8,2022,C,0,0,0
91935,8,2022,I,0,0,0
91935,8,2022,R,2888,2618968,907
91941,8,2022,A,0,0,0
91941,8,2022,C,0,0,0
91941,8,2022,I,0,0,0
91941,8,2022,R,6571,4931020,750
91942,8,2022,A,0,0,0
91942,8,2022,C,311,6385848,20533
91942,8,2022,I,0,0,0
91942,8,2022,R,3300,1537168,466
91945,8,2022,A,0,0,0
91945,8,2022,C,591,3911838,6619
91945,8,2022,I,0,0,0
91945,8,2022,R,9064,5078626,560
91948,8,2022,A,0,0,0
91948,8,2022,C,0,0,0
